appearance_id,game_id,player_id,date,player_name,competition_id,yellow_cards,red_cards,goals,assists,minutes_played
2224829_39475,2224829,39475,2012-11-24,Sacha Kljestan,BE1,0,0,0,0,82
2225549_4267,2225549,4267,2012-11-24,Tim Howard,GB1,0,0,0,0,90
2225556_39471,2225556,39471,2012-11-24,Brad Guzan,GB1,0,0,0,0,90
2225556_61575,2225556,61575,2012-11-24,Eric Lichaj,GB1,0,0,0,0,39
2225561_31642,2225561,31642,2012-11-24,Geoff Cameron,GB1,1,0,0,0,90
2231453_1321,2231453,1321,2012-11-24,Jermaine Jones,L1,1,0,0,0,90
2231459_1335,2231459,1335,2012-11-24,Steven Cherundolo,L1,0,0,0,0,90
2231469_49723,2231469,49723,2012-11-24,Timothy Chandler,L1,0,0,0,0,90
2224621_161244,2224621,161244,2012-11-25,Conor O'Brien,DK1,0,0,0,0,15
2224660_39897,2224660,39897,2012-11-25,Michael Parkhurst,DK1,0,0,0,0,90
2225564_27577,2225564,27577,2012-11-25,Clint Dempsey,GB1,0,0,0,1,90
2231457_31041,2231457,31041,2012-11-25,Fabian Johnson,L1,0,0,1,0,83
2250291_39378,2250291,39378,2012-11-25,Jozy Altidore,NL1,0,0,0,0,90
2251400_30593,2251400,30593,2012-11-25,Michael Bradley,IT1,1,0,0,0,90
2224633_119169,2224633,119169,2012-11-26,Aron Johannsson,DK1,1,0,0,0,37
2225555_39471,2225555,39471,2012-11-27,Brad Guzan,GB1,0,0,0,0,90
2225555_61575,2225555,61575,2012-11-27,Eric Lichaj,GB1,0,0,0,0,66
2231439_1321,2231439,1321,2012-11-27,Jermaine Jones,L1,0,0,0,0,90
2231464_1335,2231464,1335,2012-11-27,Steven Cherundolo,L1,0,0,0,0,90
2269549_12517,2269549,12517,2012-11-27,Oguchi Onyewu,CDR,0,0,0,0,90
2225565_31642,2225565,31642,2012-11-28,Geoff Cameron,GB1,1,0,0,0,90
2225570_27577,2225570,27577,2012-11-28,Clint Dempsey,GB1,0,0,0,0,63
2231441_31041,2231441,31041,2012-11-28,Fabian Johnson,L1,0,0,0,0,90
2231441_38383,2231441,38383,2012-11-28,Danny Williams,L1,0,0,0,0,90
2231441_49723,2231441,49723,2012-11-28,Timothy Chandler,L1,0,0,0,0,58
2250043_4267,2250043,4267,2012-11-28,Tim Howard,GB1,0,0,0,0,90
2224641_161244,2224641,161244,2012-11-30,Conor O'Brien,DK1,0,0,0,0,90
2224797_39475,2224797,39475,2012-12-01,Sacha Kljestan,BE1,0,0,0,0,90
2231442_1321,2231442,1321,2012-12-01,Jermaine Jones,L1,0,0,0,0,90
2231443_49723,2231443,49723,2012-12-01,Timothy Chandler,L1,0,0,0,0,90
2231447_1335,2231447,1335,2012-12-01,Steven Cherundolo,L1,0,0,0,0,90
2250045_27577,2250045,27577,2012-12-01,Clint Dempsey,GB1,0,0,0,1,90
2250047_4267,2250047,4267,2012-12-01,Tim Howard,GB1,0,0,0,0,90
2250050_39471,2250050,39471,2012-12-01,Brad Guzan,GB1,0,0,0,0,90
2250050_61575,2250050,61575,2012-12-01,Eric Lichaj,GB1,0,0,0,0,90
2250052_31642,2250052,31642,2012-12-01,Geoff Cameron,GB1,0,0,0,1,90
2224627_39897,2224627,39897,2012-12-02,Michael Parkhurst,DK1,1,0,0,0,90
2231449_31041,2231449,31041,2012-12-02,Fabian Johnson,L1,0,0,0,0,90
2231449_38383,2231449,38383,2012-12-02,Danny Williams,L1,0,0,0,0,90
2250301_39378,2250301,39378,2012-12-02,Jozy Altidore,NL1,0,0,0,0,90
2251411_30593,2251411,30593,2012-12-02,Michael Bradley,IT1,0,0,0,0,90
2224639_119169,2224639,119169,2012-12-03,Aron Johannsson,DK1,1,0,1,0,71
2262230_1321,2262230,1321,2012-12-04,Jermaine Jones,CL,0,0,0,0,18
2262232_12517,2262232,12517,2012-12-04,Oguchi Onyewu,CL,0,0,0,0,90
2262232_39475,2262232,39475,2012-12-04,Sacha Kljestan,CL,1,0,0,1,90
2262235_39897,2262235,39897,2012-12-05,Michael Parkhurst,CL,1,0,0,0,90
